symbol,price,change,low,high,ema20,ema50,ema100,ema200,score
GRAPHITE,761.05,-1.73,739.15,797.4,727.18,693.44,661.89,627.9,94.76
MCX,3348.4,-1.26,3306.2,3369.0,3057.4,2816.83,2578.23,2267.46,85.0
SAILIFE,1113.0,2.03,1051.3,1130.0,1071.39,1025.05,979.75,925.65,84.48
AUROPHARMA,1500.5,-0.75,1491.6,1525.0,1449.4,1375.49,1306.03,1246.75,80.55
SAIL,192.73,0.17,188.21,195.0,184.46,173.22,162.64,151.16,79.54
BSE,4120.7,3.0,3940.0,4134.0,3758.3,3421.86,3149.53,2909.15,79.36
MARICO,833.75,-0.88,830.45,844.8,809.11,785.68,769.57,752.84,78.17
ASTERDM,755.25,0.21,733.65,761.6,724.37,692.03,666.55,645.04,78.08
SCI,344.7,4.01,325.25,351.7,313.99,285.58,264.8,245.75,75.84
CRAFTSMAN,8428.5,-0.4,8242.5,8499.0,8139.12,7767.53,7521.9,7127.84,75.54
APOLLOHOSP,8020.5,-0.77,8006.0,8099.0,7871.68,7695.5,7570.1,7460.31,74.2
NAM-INDIA,1083.0,-1.6,1074.2,1114.0,1043.02,982.83,938.91,894.32,72.38
ONGC,297.2,-0.72,295.1,300.7,290.97,283.5,273.37,262.69,72.16
NLCINDIA,348.15,-1.32,337.5,354.35,322.81,298.99,281.64,267.13,71.61
KEI,5088.1,-0.57,4950.0,5115.7,4954.82,4744.88,4563.13,4329.93,70.32
ACUTAAS,2799.1,2.49,2714.5,2818.7,2633.02,2436.92,2211.98,1926.91,69.26
JSWSTEEL,1292.8,1.09,1258.3,1302.0,1264.22,1236.23,1209.28,1168.23,68.18
USHAMART,469.25,-0.78,455.4,471.4,460.72,444.2,434.54,419.44,67.36
POLYCAB,9151.0,-0.02,8943.5,9170.0,8603.05,8140.81,7852.26,7514.33,66.08
ADANIPORTS,1787.7,-0.41,1745.0,1793.0,1691.12,1592.1,1533.52,1488.55,60.14
LAURUSLABS,1327.3,0.28,1307.6,1333.5,1208.05,1131.07,1074.23,990.09,58.55
RRKABEL,1947.9,-0.3,1898.1,1977.0,1775.16,1608.62,1517.61,1444.39,58.17
MOTHERSON,128.75,-0.9,125.15,129.09,125.59,122.74,119.93,115.06,57.69
GRANULES,731.45,-0.65,721.15,736.8,712.07,668.39,630.5,592.55,55.8
BHEL,395.25,-0.77,386.1,396.3,371.36,329.31,301.88,280.91,52.91
HINDZINC,636.5,-0.2,619.25,637.95,622.07,599.65,582.76,551.49,52.86
GESHIP,1696.5,10.6,1533.9,1730.0,1523.83,1450.38,1354.9,1237.99,49.36
NATCOPHARM,1165.6,-2.79,1140.0,1192.0,1140.07,1072.0,1007.15,953.5,48.15
NYKAA,272.7,0.11,265.85,274.45,266.9,261.6,257.36,247.96,48.04
KIRLOSENG,1700.0,-2.31,1672.3,1739.0,1648.17,1551.36,1422.78,1263.96,47.55
EMCURE,1686.2,-1.1,1660.0,1699.4,1659.46,1605.88,1545.02,1460.18,47.33
MANAPPURAM,306.1,-0.44,295.75,308.5,298.88,288.88,285.72,279.41,47.3
FORTIS,962.15,-0.16,945.1,965.0,939.61,910.54,901.36,883.69,46.81
OIL,506.05,-2.36,504.45,520.55,485.28,476.92,465.84,451.82,46.81
NMDC,90.14,-1.39,88.28,90.87,88.99,86.02,83.21,79.85,44.79
IFCI,62.19,-1.74,61.0,63.0,61.3,59.07,57.61,56.51,43.05
JBCHEPHARM,2125.3,-0.71,2087.1,2142.9,2096.62,2051.06,1987.53,1898.5,42.98
